DISTRICT,EN,YEAR
GRENVILLE,4820,1921
GUNBOWER,8963,1921
HAMPDEN,11356,1921
HAWTHORN,29582,1921
JIKA JIKA,34953,1921
KARA KARA,6080,1921
KORONG,6831,1921
LOWAN,9640,1921
MARYBOROUGH,6664,1921
MELBOURNE,8825,1921
MORNINGTON,15741,1921
NORTH MELBOURNE,18362,1921
OVENS,5183,1921
POLWARTH,11310,1921
PORT FAIRY,8051,1921
PORT MELBOURNE,15321,1921
PRAHRAN,21095,1921
RICHMOND,16613,1921
RODNEY,11395,1921
ST KILDA,34106,1921
STAWELL AND ARARAT,7969,1921
SWAN HILL,18135,1921
TOORAK,25421,1921
UPPER GOULBURN,8109,1921
WALHALLA,6758,1921
WANGARATTA,7566,1921
WARANGA,6950,1921
WARRENHEIP,5657,1921
WARRNAMBOOL,9027,1921
WILLIAMSTOWN,23939,1921
Boroondara had,63123,1924
ABBOTSFORD,14510,1924
ALBERT PARK,20431,1924
ALLANDALE,5216,1924
BALLARAT EAST,9756,1924
BALLARAT WEST,10549,1924
BARWON,12355,1924
BENALLA,7108,1924
BENAMBRA,6700,1924
BENDIGO EAST,8204,1924
BENDIGO WEST,9017,1924
BOROONDARA,63123,1924
BORUNG,7856,1924
BRIGHTON,30536,1924
BRUNSWICK,27788,1924
BULLA,11810,1924
CARLTON,11767,1924
CASTLEMAINE AND MALDON,6246,1924
COLLINGWOOD,14212,1924
DALHOUSIE,6704,1924
DANDENONG,19505,1924
DAYLESFORD,6185,1924
DUNDAS,8256,1924
EAGLEHAWK,5861,1924
EAST MELBOURNE,10938,1924
ESSENDON,37039,1924
EVELYN,12213,1924
FITZROY,12353,1924
FLEMINGTON,23713,1924
GEELONG,15405,1924
GIPPSLAND EAST,6134,1924
GIPPSLAND NORTH,9543,1924
GIPPSLAND SOUTH,9745,1924
GIPPSLAND WEST,9385,1924
GLENELG,9022,1924
GOULBURN VALLEY,8924,1924
GRENVILLE,4256,1924
GUNBOWER,9178,1924
HAMPDEN,11573,1924
HAWTHORN,32143,1924
JIKA JIKA,41548,1924
KARA KARA,5958,1924
KORONG,6518,1924
LOWAN,10470,1924
MARYBOROUGH,6360,1924
MELBOURNE,7738,1924
MORNINGTON,17066,1924
NORTH MELBOURNE,15915,1924
OVENS,4880,1924
POLWARTH,11494,1924
PORT FAIRY,7313,1924
PORT MELBOURNE,15435,1924
PRAHRAN,19436,1924
RICHMOND,16381,1924
RODNEY,11194,1924
ST KILDA,35932,1924
STAWELL AND ARARAT,7910,1924
SWAN HILL,21313,1924
TOORAK,24441,1924
UPPER GOULBURN,7760,1924
WALHALLA,7797,1924
WANGARATTA,7165,1924
WARANGA,6466,1924
WARRENHEIP,5192,1924
WARRNAMBOOL,9410,1924
WILLIAMSTOWN,24058,1924
ALBERT PARK,23697,1927
ALLANDALE,9709,1927
BALLARAT,16521,1927
BARWON,11441,1927
BENALLA,9717,1927
BENAMBRA,8066,1927
BENDIGO,15384,1927
BOROONDARA,21831,1927
BRIGHTON,22753,1927
BRUNSWICK,22998,1927
BULLA AND DALHOUSIE,9971,1927
CARLTON,22034,1927
CASTLEMAINE AND KYNETON,9928,1927
CAULFIELD,23388,1927
CLIFTON HILL,24347,1927
COBURG,20528,1927
COLLINGWOOD,23879,1927
DANDENONG,20571,1927
DUNDAS,10568,1927
ESSENDON,20677,1927
EVELYN,9494,1927
FLEMINGTON,21687,1927
FOOTSCRAY,21599,1927
GEELONG,17621,1927
GIPPSLAND EAST,7040,1927
GIPPSLAND NORTH,9962,1927
GIPPSLAND SOUTH,10042,1927
GIPPSLAND WEST,10060,1927
GOULBURN VALLEY,10778,1927
GRANT,9172,1927
GUNBOWER,10719,1927
HAMPDEN,10358,1927
HAWTHORN,21641,1927
HEIDELBERG,21954,1927
KARA KARA AND BORUNG,10535,1927
KEW,21610,1927
KORONG AND EAGLEHAWK,10776,1927
LOWAN,10923,1927
MARYBOROUGH AND DAYLESFORD,10515,1927
MELBOURNE,23045,1927
MILDURA,9066,1927
MORNINGTON,10520,1927
NORTHCOTE,22405,1927
NUNAWADING,19012,1927
OAKLEIGH,24730,1927
OUYEN,10499,1927
POLWARTH,10981,1927
PORT FAIRY AND GLENELG,10898,1927
PORT MELBOURNE,22076,1927
PRAHRAN,25087,1927
RICHMOND,24059,1927
RODNEY,10855,1927
ST KILDA,24958,1927
STAWELL AND ARARAT,10881,1927
SWAN HILL,8837,1927
TOORAK,22193,1927
UPPER GOULBURN,9333,1927
UPPER YARRA,11556,1927
WALHALLA,9296,1927
WANGARATTA AND OVENS,9306,1927
WARANGA,9349,1927
WARRENHEIP AND GRENVILLE,9743,1927
WARRNAMBOOL,9991,1927
WILLIAMSTOWN,20379,1927
WONTHAGGI,9662,1927
ALBERT PARK,22824,1929
ALLANDALE,9687,1929
BALLARAT,17068,1929
BARWON,11680,1929
BENALLA,10901,1929
BENAMBRA,8453,1929
BENDIGO,15921,1929
BOROONDARA,24813,1929
BRIGHTON,24523,1929
BRUNSWICK,24092,1929
BULLA AND DALHOUSIE,9959,1929
CARLTON,20405,1929
CASTLEMAINE AND KYNETON,10291,1929
CAULFIELD,24591,1929
CLIFTON HILL,23189,1929
COBURG,23308,1929
COLLINGWOOD,22154,1929
DANDENONG,24661,1929
DUNDAS,10828,1929
ESSENDON,22310,1929
EVELYN,9997,1929
FLEMINGTON,21561,1929
FOOTSCRAY,23970,1929
GEELONG,17775,1929
GIPPSLAND EAST,7126,1929
GIPPSLAND NORTH,10173,1929
GIPPSLAND SOUTH,10330,1929
GIPPSLAND WEST,10691,1929
GOULBURN VALLEY,11367,1929
GRANT,9700,1929
GUNBOWER,11051,1929
HAMPDEN,10699,1929
HAWTHORN,22334,1929
HEIDELBERG,25525,1929
KARA KARA AND BORUNG,10916,1929
KEW,23742,1929
KORONG AND EAGLEHAWK,10820,1929
LOWAN,11262,1929
MARYBOROUGH AND DAYLESFORD,10614,1929
MELBOURNE,21565,1929
MILDURA,10602,1929
MORNINGTON,11572,1929
NORTHCOTE,22346,1929
NUNAWADING,21032,1929
OAKLEIGH,27452,1929
OUYEN,11068,1929
POLWARTH,11217,1929
PORT FAIRY AND GLENELG,11000,1929
PORT MELBOURNE,21292,1929
PRAHRAN,24291,1929
RICHMOND,23375,1929
RODNEY,11240,1929
ST KILDA,26168,1929
STAWELL AND ARARAT,11071,1929
SWAN HILL,9220,1929
TOORAK,22001,1929
UPPER GOULBURN,9492,1929
UPPER YARRA,12281,1929
WALHALLA,10213,1929
WANGARATTA AND OVENS,9513,1929
WARANGA,9229,1929
WARRENHEIP AND GRENVILLE,9733,1929
WARRNAMBOOL,10466,1929
WILLIAMSTOWN,21549,1929
WONTHAGGI,9902,1929
Melbourne HAWTHORN,22139,1929
ALBERT PARK,22431,1932
ALLANDALE,10038,1932
BALLARAT,17889,1932
BARWON,12100,1932
BENALLA,10142,1932
BENAMBRA,8938,1932
BENDIGO,16894,1932
BOROONDARA,26127,1932
BRIGHTON,25429,1932
BRUNSWICK,24691,1932
BULLA AND DALHOUSIE,10366,1932
CARLTON,20099,1932
CASTLEMAINE AND KYNETON,10732,1932
CAULFIELD,24870,1932
CLIFTON HILL,23406,1932
COBURG,24369,1932
COLLINGWOOD,22306,1932
DANDENONG,26254,1932
DUNDAS,11239,1932
ESSENDON,22891,1932
EVELYN,10709,1932
FLEMINGTON,20852,1932
FOOTSCRAY,24201,1932
GEELONG,18019,1932
GIPPSLAND EAST,7771,1932
GIPPSLAND NORTH,10732,1932
GIPPSLAND SOUTH,11224,1932
GIPPSLAND WEST,11332,1932
GOULBURN VALLEY,11592,1932
GRANT,9825,1932
GUNBOWER,10991,1932
HAMPDEN,10905,1932
HAWTHORN,22720,1932
HEIDELBERG,27059,1932
KARA KARA AND BORUNG,10502,1932
KEW,24942,1932
KORONG AND EAGLEHAWK,11102,1932
LOWAN,11420,1932
MARYBOROUGH AND DAYLESFORD,10897,1932
MELBOURNE,19181,1932
MILDURA,10966,1932
MORNINGTON,12659,1932
NORTHCOTE,23495,1932
NUNAWADING,22238,1932
OAKLEIGH,28255,1932
OUYEN,10679,1932
POLWARTH,11306,1932
PORT FAIRY AND GLENELG,11491,1932
PORT MELBOURNE,21188,1932
PRAHRAN,24049,1932
RICHMOND,23625,1932
RODNEY,11521,1932
ST KILDA,26027,1932
STAWELL AND ARARAT,11277,1932
SWAN HILL,9172,1932
TOORAK,22496,1932
UPPER GOULBURN,9457,1932
UPPER YARRA,13585,1932
WALHALLA,10638,1932
WANGARATTA AND OVENS,10338,1932
WARANGA,9414,1932
WARRENHEIP AND GRENVILLE,10354,1932
WARRNAMBOOL,11455,1932
WILLIAMSTOWN,21824,1932
WONTHAGGI,10605,1932
ALBERT PARK,23066,1935
ALLANDALE,10454,1935
BALLARAT,18233,1935
BARWON,12513,1935
BENALLA,10671,1935
BENAMBRA,9029,1935
BENDIGO,17971,1935
BOROONDARA,27566,1935
BRIGHTON,26787,1935
BRUNSWICK,25787,1935
BULLA AND DALHOUSIE,10125,1935
CARLTON,21252,1935
CASTLEMAINE AND KYNETON,10820,1935
CAULFIELD,25557,1935
CLIFTON HILL,23877,1935
COBURG,25864,1935
COLLINGWOOD,23346,1935
DANDENONG,27968,1935
DUNDAS,11597,1935
ESSENDON,23709,1935
EVELYN,11264,1935
FLEMINGTON,22280,1935
FOOTSCRAY,25398,1935
GEELONG,18647,1935
GIPPSLAND EAST,7998,1935
GIPPSLAND NORTH,10930,1935
GIPPSLAND SOUTH,11422,1935
GIPPSLAND WEST,11419,1935
GOULBURN VALLEY,11974,1935
GRANT,10206,1935
GUNBOWER,11613,1935
HAMPDEN,11144,1935
HAWTHORN,23956,1935
HEIDELBERG,27962,1935
KARA KARA AND BORUNG,11130,1935
KEW,25694,1935
KORONG AND EAGLEHAWK,11754,1935
LOWAN,11923,1935
MARYBOROUGH AND DAYLESFORD,11438,1935
MELBOURNE,20754,1935
MILDURA,12946,1935
MORNINGTON,13232,1935
NORTHCOTE,23686,1935
NUNAWADING,22801,1935
OAKLEIGH,29603,1935
OUYEN,11063,1935
POLWARTH,11665,1935
PORT FAIRY AND GLENELG,11821,1935
PORT MELBOURNE,22253,1935
PRAHRAN,25454,1935
RICHMOND,24310,1935
RODNEY,11991,1935
ST KILDA,26417,1935
STAWELL AND ARARAT,11772,1935
SWAN HILL,9775,1935
TOORAK,23817,1935
UPPER GOULBURN,9717,1935
UPPER YARRA,14294,1935
WALHALLA,10772,1935
WANGARATTA AND OVENS,11206,1935
WARANGA,9579,1935
WARRENHEIP AND GRENVILLE,10736,1935
WARRNAMBOOL,12117,1935
WILLIAMSTOWN,22676,1935
WONTHAGGI,10450,1935
ALBERT PARK,24087,1937
ALLANDALE,10245,1937
BALLARAT,18084,1937
BARWON,12812,1937
BENALLA,11408,1937
BENAMBRA,8954,1937
BENDIGO,18612,1937
BOROONDARA,31327,1937
BRIGHTON,28968,1937
BRUNSWICK,26454,1937
BULLA AND DALHOUSIE,10096,1937
CARLTON,21839,1937
CASTLEMAINE AND KYNETON,11140,1937
CAULFIELD,27834,1937
CLIFTON HILL,24329,1937
COBURG,27404,1937
COLLINGWOOD,23326,1937
DANDENONG,30516,1937
DUNDAS,12186,1937
ESSENDON,24842,1937
EVELYN,11672,1937
FLEMINGTON,22384,1937
FOOTSCRAY,26575,1937
GEELONG,19168,1937
GIPPSLAND EAST,8040,1937
GIPPSLAND NORTH,11185,1937
GIPPSLAND SOUTH,11504,1937
GIPPSLAND WEST,11467,1937
GOULBURN VALLEY,12426,1937
GRANT,10482,1937
GUNBOWER,11467,1937
HAMPDEN,11165,1937
HAWTHORN,25770,1937
HEIDELBERG,29703,1937
KARA KARA AND BORUNG,11057,1937
KEW,27563,1937
KORONG AND EAGLEHAWK,11622,1937
LOWAN,12173,1937
MARYBOROUGH AND DAYLESFORD,11387,1937
MELBOURNE,20180,1937
MILDURA,13152,1937
MORNINGTON,13451,1937
NORTHCOTE,24603,1937
NUNAWADING,24507,1937
OAKLEIGH,32314,1937
OUYEN,10511,1937
POLWARTH,11766,1937
PORT FAIRY AND GLENELG,11994,1937
PORT MELBOURNE,21406,1937
PRAHRAN,25570,1937
RICHMOND,25129,1937
RODNEY,12027,1937
ST KILDA,28999,1937
STAWELL AND ARARAT,11938,1937
SWAN HILL,9407,1937
TOORAK,24869,1937
UPPER GOULBURN,9761,1937
UPPER YARRA,15239,1937
WALHALLA,11456,1937
WANGARATTA AND OVENS,11208,1937
WARANGA,9493,1937
WARRENHEIP AND GRENVILLE,10637,1937
WARRNAMBOOL,12311,1937
WILLIAMSTOWN,23364,1937
WONTHAGGI,10031,1937
ALBERT PARK,24316,1940
ALLANDALE,9956,1940
BALLARAT,17744,1940
BARWON,13237,1940
BENALLA,11190,1940
BENAMBRA,9122,1940
BENDIGO,17950,1940
BOROONDARA,34198,1940
BRIGHTON,31341,1940
BRUNSWICK,27426,1940
BULLA AND DALHOUSIE,9941,1940
CARLTON,21532,1940
CASTLEMAINE AND KYNETON,10811,1940
CAULFIELD,29438,1940
CLIFTON HILL,24131,1940
COBURG,29098,1940
COLLINGWOOD,23018,1940
DANDENONG,33158,1940
DUNDAS,12364,1940
ESSENDON,26556,1940
EVELYN,11873,1940
FLEMINGTON,23278,1940
FOOTSCRAY,28541,1940
GEELONG,19494,1940
GIPPSLAND EAST,7886,1940
GIPPSLAND NORTH,11033,1940
GIPPSLAND SOUTH,12048,1940
GIPPSLAND WEST,11443,1940
GOULBURN VALLEY,12696,1940
GRANT,10585,1940
GUNBOWER,11229,1940
HAMPDEN,11090,1940
HAWTHORN,25869,1940
HEIDELBERG,32065,1940
KARA KARA AND BORUNG,10788,1940
KEW,29679,1940
KORONG AND EAGLEHAWK,11102,1940
LOWAN,12398,1940
MARYBOROUGH AND DAYLESFORD,11061,1940
MELBOURNE,20590,1940
MILDURA,13034,1940
MORNINGTON,14285,1940
NORTHCOTE,24692,1940
NUNAWADING,26253,1940
OAKLEIGH,33877,1940
OUYEN,10077,1940
POLWARTH,11882,1940
PORT FAIRY AND GLENELG,12213,1940
PORT MELBOURNE,21462,1940
PRAHRAN,25936,1940
RICHMOND,23769,1940
RODNEY,11993,1940
ST KILDA,30920,1940
STAWELL AND ARARAT,11767,1940
SWAN HILL,9176,1940
TOORAK,25017,1940
UPPER GOULBURN,9607,1940
UPPER YARRA,15859,1940
WALHALLA,11953,1940
WANGARATTA AND OVENS,11415,1940
WARANGA,9020,1940
WARRENHEIP AND GRENVILLE,10398,1940
WARRNAMBOOL,12606,1940
WILLIAMSTOWN,24309,1940
WONTHAGGI,9899,1940
ALBERT PARK,28881,1943
ALLANDALE,9486,1943
BALLARAT,18327,1943
BARWON,13828,1943
BENALLA,10872,1943
BENAMBRA,9506,1943
BENDIGO,18507,1943
BOROONDARA,39261,1943
BRIGHTON,35993,1943
BRUNSWICK,29664,1943
BULLA AND DALHOUSIE,10251,1943
CARLTON,22723,1943
CASTLEMAINE AND KYNETON,10732,1943
CAULFIELD,32473,1943
CLIFTON HILL,25553,1943
COBURG,32906,1943
COLLINGWOOD,24496,1943
DANDENONG,39698,1943
DUNDAS,12385,1943
ESSENDON,30894,1943
EVELYN,13259,1943
FLEMINGTON,25925,1943
FOOTSCRAY,34165,1943
GEELONG,20395,1943
GIPPSLAND EAST,7443,1943
GIPPSLAND NORTH,11180,1943
GIPPSLAND SOUTH,13018,1943
GIPPSLAND WEST,12061,1943
GOULBURN VALLEY,12712,1943
GRANT,11708,1943
GUNBOWER,10439,1943
HAMPDEN,10735,1943
HAWTHORN,28500,1943
HEIDELBERG,37373,1943
KARA KARA AND BORUNG,9620,1943
KEW,34589,1943
KORONG AND EAGLEHAWK,10124,1943
LOWAN,11952,1943
MARYBOROUGH AND DAYLESFORD,10694,1943
MELBOURNE,23712,1943
MILDURA,13187,1943
MORNINGTON,15525,1943
NORTHCOTE,26623,1943
NUNAWADING,30157,1943
OAKLEIGH,39079,1943
OUYEN,8888,1943
POLWARTH,11884,1943
PORT FAIRY AND GLENELG,11945,1943
PORT MELBOURNE,22668,1943
PRAHRAN,32947,1943
RICHMOND,26162,1943
RODNEY,11678,1943
ST KILDA,33617,1943
STAWELL AND ARARAT,11174,1943
SWAN HILL,8915,1943
TOORAK,30232,1943
UPPER GOULBURN,9987,1943
UPPER YARRA,18690,1943
WALHALLA,13343,1943
WANGARATTA AND OVENS,11327,1943
WARANGA,8602,1943
WARRENHEIP AND GRENVILLE,10121,1943
WARRNAMBOOL,12609,1943
WILLIAMSTOWN,26497,1943
WONTHAGGI,9734,1943
ALBERT PARK,25431,1945
ALLENDALE,14444,1945
BALLARAT,20791,1945
BARWON,14272,1945
BENALLA,12947,1945
BENAMBRA,12297,1945
BENDIGO,20917,1945
BORUNG,12999,1945
BOX HILL,25199,1945
BRIGHTON,25681,1945
BRUNSWICK,26742,1945
CAMBERWELL,25135,1945
CARLTON,25575,1945
CAULFIELD,25018,1945
CLIFTON HILL,26112,1945
COBURG,24441,1945
COLLINGWOOD,25855,1945
DANDENONG,24009,1945
DUNDAS,13791,1945
ELSTERNWICK,23310,1945
ESSENDON,25117,1945
EVELYN,13580,1945
FOOTSCRAY,25587,1945
GEELONG,20755,1945
GIPPSLAND EAST,12015,1945
GIPPSLAND NORTH,13031,1945
GIPPSLAND SOUTH,13883,1945
GIPPSLAND WEST,14389,1945
GLEN IRIS,23592,1945
GOULBURN,12646,1945
GRANT,14739,1945
HAMPDEN,14126,1945
HAWTHORN,25451,1945
IVANHOE,23367,1945
KEW,25253,1945
KORONG,12884,1945
MALVERN,24069,1945
MELBOURNE,26354,1945
MENTONE,24667,1945
MERNDA,13697,1945
MIDLANDS,14167,1945
MILDURA,13087,1945
MOONEE PONDS,26295,1945
MORNINGTON,14006,1945
MURRAY VALLEY,13551,1945
NORTHCOTE,24963,1945
OAKLEIGH,24422,1945
POLWARTH,13753,1945
PORT MELBOURNE,26747,1945
PORTLAND,14045,1945
PRAHRAN,26746,1945
PRESTON,23932,1945
RAINBOW,12622,1945
RIPON,13924,1945
RODNEY,14104,1945
ST KILDA,24855,1945
SCORESBY,13821,1945
SHEPPARTON,14772,1945
SUNSHINE,24017,1945
SWAN HILL,13411,1945
TOORAK,25608,1945
WARRNAMBOOL,13871,1945
WILLIAMSTOWN,25281,1945
WONTHAGGI,14849,1945
ALBERT PARK,26921,1947
ALLENDALE,15101,1947
BALLARAT,21920,1947
BARWON,15546,1947
BENALLA,13510,1947
BENAMBRA,12503,1947
BENDIGO,21783,1947
BORUNG,13382,1947
BOX HILL,27486,1947
BRIGHTON,27819,1947
BRUNSWICK,26281,1947
CAMBERWELL,26885,1947
CARLTON,27343,1947
CAULFIELD,25644,1947
CLIFTON HILL,26947,1947
COBURG,25629,1947
COLLINGWOOD,27055,1947
DANDENONG,27663,1947
DUNDAS,14721,1947
ELSTERNWICK,24377,1947
ESSENDON,26936,1947
EVELYN,15459,1947
FOOTSCRAY,26296,1947
GEELONG,21860,1947
GIPPSLAND EAST,12598,1947
GIPPSLAND NORTH,14096,1947
GIPPSLAND SOUTH,14777,1947
GIPPSLAND WEST,15452,1947
GLEN IRIS,25022,1947
GOULBURN,13401,1947
GRANT,15122,1947
HAMPDEN,14426,1947
HAWTHORN,25775,1947
IVANHOE,26359,1947
KEW,26020,1947
KORONG,12995,1947
MALVERN,24008,1947
MELBOURNE,26462,1947
MENTONE,28347,1947
MERNDA,14844,1947
MIDLANDS,14717,1947
MILDURA,14398,1947
MOONEE PONDS,27141,1947
MORNINGTON,16371,1947
MURRAY VALLEY,14226,1947
NORTHCOTE,25895,1947
opposition OAKLEIGH,26246,1947
POLWARTH,14266,1947
PORT MELBOURNE,27922,1947
PORTLAND,14564,1947
PRAHRAN,27361,1947
PRESTON,26283,1947
RAINBOW,12531,1947
RICHMOND,27019,1947
RIPON,14371,1947
RODNEY,14392,1947
ST KILDA,25837,1947
SCORESBY,15868,1947
SHEPPARTON,15444,1947
SUNSHINE,25589,1947
SWAN HILL,13684,1947
TOORAK,26161,1947
WARRNAMBOOL,14469,1947
WILLIAMSTOWN,26701,1947
WONTHAGGI,15393,1947
ALBERT PARK,25615,1950
ALLENDALE,15337,1950
BALLARAT,21659,1950
BARWON,16150,1950
BENALLA,13786,1950
BENAMBRA,13559,1950
BENDIGO,22366,1950
BORUNG,13692,1950
BOX HILL,30717,1950
BRIGHTON,28430,1950
BRUNSWICK,25076,1950
CAMBERWELL,27066,1950
CARLTON,26138,1950
CAULFIELD,23785,1950
CLIFTON HILL,25422,1950
COBURG,25631,1950
COLLINGWOOD,25664,1950
DANDENONG,35118,1950
DUNDAS,15103,1950
ELSTERNWICK,22994,1950
ESSENDON,29622,1950
EVELYN,17076,1950
FOOTSCRAY,25077,1950
GEELONG,21578,1950
GIPPSLAND EAST,13156,1950
GIPPSLAND NORTH,16243,1950
GIPPSLAND SOUTH,16282,1950
GIPPSLAND WEST,16035,1950
GLEN IRIS,26441,1950
GOULBURN,13779,1950
GRANT,16242,1950
HAMPDEN,14476,1950
HAWTHORN,24081,1950
IVANHOE,30895,1950
KEW,24112,1950
KORONG,12780,1950
MALVERN,22575,1950
MELBOURNE,24221,1950
MENTONE,31207,1950
MERNDA,16397,1950
MIDLANDS,14919,1950
MILDURA,14197,1950
MOONEE PONDS,26569,1950
MORNINGTON,17967,1950
MURRAY VALLEY,15343,1950
NORTHCOTE,25355,1950
OAKLEIGH,27079,1950
POLWARTH,14735,1950
PORT MELBOURNE,26680,1950
PORTLAND,15054,1950
PRAHRAN,24805,1950
PRESTON,27934,1950
RAINBOW,12354,1950
RICHMOND,25304,1950
RIPON,14953,1950
RODNEY,14600,1950
ST KILDA,23724,1950
SCORESBY,17679,1950
SHEPPARTON,16315,1950
SUNSHINE,27820,1950
SWAN HILL,14042,1950
TOORAK,22889,1950
WARRNAMBOOL,14506,1950
WILLIAMSTOWN,26983,1950
WONTHAGGI,15452,1950
ALBERT PARK,22280,1952
ALLENDALE,15929,1952
BALLARAT,21495,1952
BARWON,17675,1952
BENALLA,13646,1952
BENAMBRA,14050,1952
BENDIGO,23344,1952
BORUNG,13911,1952
BOX HILL,36858,1952
BRIGHTON,27525,1952
BRUNSWICK,22887,1952
CAMBERWELL,28618,1952
CARLTON,23883,1952
CAULFIELD,22279,1952
CLIFTON HILL,23293,1952
COBURG,25438,1952
COLLINGWOOD,24077,1952
DANDENONG,45752,1952
DUNDAS,15407,1952
ELSTERNWICK,21478,1952
ESSENDON,33201,1952
EVELYN,19024,1952
FOOTSCRAY,23372,1952
GEELONG,21255,1952
GIPPSLAND EAST,13539,1952
GIPPSLAND NORTH,18403,1952
GIPPSLAND SOUTH,19356,1952
GIPPSLAND WEST,16603,1952
GLEN IRIS,28965,1952
GOULBURN,14640,1952
GRANT,19336,1952
HAMPDEN,14929,1952
HAWTHORN,22133,1952
IVANHOE,36145,1952
KEW,22713,1952
KORONG,12767,1952
MALVERN,21615,1952
MELBOURNE,21963,1952
MENTONE,36049,1952
MERNDA,18751,1952
MIDLANDS,15220,1952
MILDURA,14224,1952
MOONEE PONDS,26177,1952
MORNINGTON,21208,1952
MURRAY VALLEY,16461,1952
NORTHCOTE,24584,1952
OAKLEIGH,28548,1952
POLWARTH,15350,1952
PORT MELBOURNE,24767,1952
PORTLAND,15454,1952
PRAHRAN,23311,1952
PRESTON,30547,1952
RAINBOW,12365,1952
RICHMOND,22821,1952
RIPON,15393,1952
RODNEY,14662,1952
ST KILDA,21554,1952
SCORESBY,21451,1952
SHEPPARTON,16957,1952
SUNSHINE,31577,1952
SWAN HILL,14315,1952
TOORAK,22902,1952
WARRNAMBOOL,14887,1952
WILLIAMSTOWN,27891,1952
WONTHAGGI,15495,1952
ALBERT PARK,17402,1955
ASCOT VALE,23200,1955
BALLARAT NORTH,20603,1955
BALLARAT SOUTH,20522,1955
BALWYN,22934,1955
BENALLA,21115,1955
BENAMBRA,20430,1955
BENDIGO,21308,1955
BOX HILL,31046,1955
BRIGHTON,19332,1955
BROADMEADOWS,27829,1955
BRUNSWICK EAST,18606,1955
BRUNSWICK WEST,16653,1955
BURWOOD,21287,1955
CAMBERWELL,21852,1955
CARLTON,17007,1955
CAULFIELD,18205,1955
CAULFIELD EAST,22789,1955
COBURG,22829,1955
COLLINGWOOD,15355,1955
DANDENONG,36477,1955
DUNDAS,19146,1955
ELSTERNWICK,21166,1955
EVELYN,32036,1955
FLEMINGTON,16784,1955
FOOTSCRAY,19832,1955
GEELONG,23614,1955
GEELONG WEST,23701,1955
GIPPSLAND EAST,19158,1955
GIPPSLAND SOUTH,19782,1955
GIPPSLAND WEST,22886,1955
GRANT,29872,1955
HAMPDEN,19641,1955
HAWTHORN,17734,1955
IVANHOE,19284,1955
KARA KARA,18085,1955
KEW,22068,1955
LOWAN,17943,1955
MALVERN,18685,1955
MELBOURNE,16377,1955
MENTONE,25716,1955
MIDLANDS,22327,1955
MILDURA,19086,1955
MOONEE PONDS,22024,1955
MOORABBIN,31795,1955
MORNINGTON,24684,1955
MORWELL,20981,1955
MURRAY VALLEY,21066,1955
NORTHCOTE,19198,1955
OAKLEIGH,19761,1955
PASCOE VALE,22732,1955
POLWARTH,20402,1955
PORT MELBOURNE,17203,1955
PORTLAND,19089,1955
PRAHRAN,18302,1955
PRESTON,23434,1955
RESERVOIR,23582,1955
RICHMOND,16676,1955
RIPPONLEA,18027,1955
RODNEY,21099,1955
ST KILDA,18521,1955
SANDRINGHAM,30062,1955
SCORESBY,34177,1955
SWAN HILL,18847,1955
TOORAK,18505,1955
WILLIAMSTOWN,19717,1955
ALBERT PARK,19844,1958
BALLARAT NORTH,21979,1958
BALLARAT SOUTH,21412,1958
BALWYN,25505,1958
BENALLA,20675,1958
BENAMBRA,21636,1958
BENDIGO,21868,1958
BOX HILL,24107,1958
BRIGHTON,21449,1958
BROADMEADOWS,30448,1958
BRUNSWICK EAST,18288,1958
BRUNSWICK WEST,20932,1958
BURWOOD,21622,1958
CAMBERWELL,21009,1958
CAULFIELD,21916,1958
COBURG,21911,1958
DANDENONG,29072,1958
DUNDAS,21822,1958
ELSTERNWICK,21695,1958
ESSENDON,23052,1958
EVELYN,25508,1958
FITZROY,19456,1958
FLEMINGTON,19264,1958
FOOTSCRAY,20607,1958
GEELONG,21207,1958
GEELONG WEST,23172,1958
GIPPSLAND EAST,20841,1958
GIPPSLAND SOUTH,21889,1958
GIPPSLAND WEST,21924,1958
GRANT,29527,1958
HAMPDEN,20842,1958
HAWTHORN,20017,1958
IVANHOE,23649,1958
KARA KARA,19973,1958
KEW,21858,1958
LOWAN,20602,1958
MALVERN,20074,1958
MELBOURNE,18872,1958
MENTONE,23641,1958
MIDLANDS,22512,1958
MILDURA,20254,1958
MOONEE PONDS,20777,1958
MOORABBIN,26199,1958
MORNINGTON,23629,1958
MORWELL,21132,1958
MULGRAVE,31861,1958
MURRAY VALLEY,21889,1958
NORTHCOTE,21723,1958
OAKLEIGH,22659,1958
ORMOND,24208,1958
POLWARTH,23001,1958
PORTLAND,22013,1958
PRAHRAN,19767,1958
PRESTON,25974,1958
RESERVOIR,25172,1958
RICHMOND,19583,1958
RINGWOOD,28074,1958
RIPPONLEA,20536,1958
RODNEY,21542,1958
ST KILDA,20183,1958
SANDRINGHAM,25231,1958
SCORESBY,25807,1958
SWAN HILL,19727,1958
TOORAK,19452,1958
WILLIAMSTOWN,20110,1958
YARRAVILLE,21885,1958
ALBERT PARK,17415,1961
BALLARAT NORTH,22585,1961
BALLARAT SOUTH,21531,1961
BALWYN,27107,1961
BENALLA,20915,1961
BENAMBRA,23039,1961
BENDIGO,21894,1961
BOX HILL,30533,1961
BRIGHTON,20878,1961
BROADMEADOWS,42871,1961
BRUNSWICK EAST,16987,1961
BRUNSWICK WEST,19472,1961
