DISTRICT,EN,YEAR,SEATS,PROP,Category
BOROONDARA,5333,1908,1,5333,URBAN
BORUNG,2948,1908,1,2948,RURAL
BRIGHTON,4121,1908,1,4121,URBAN
BRUNSWICK,5460,1908,1,5460,URBAN
BULLA,3936,1908,1,3936,RURAL
CARLTON,4222,1908,1,4222,URBAN
CASTLEMAINE AND MALDON,3417,1908,1,3417,RURAL
COLLINGWOOD,4499,1908,1,4499,URBAN
DALHOUSIE,3600,1908,1,3600,RURAL
DANDENONG,4365,1908,1,4365,RURAL
DAYLESFORD,3235,1908,1,3235,RURAL
DUNDAS,3234,1908,1,3234,RURAL
EAGLEHAWK,3729,1908,1,3729,RURAL
EAST MELBOURNE,4266,1908,1,4266,URBAN
ESSENDON,6200,1908,1,6200,URBAN
EVELYN,3717,1908,1,3717,RURAL
FITZROY,4057,1908,1,4057,URBAN
FLEMINGTON,5444,1908,1,5444,URBAN
GEELONG,4486,1908,1,4486,METRO
GIPPSLAND EAST,3172,1908,1,3172,RURAL
GIPPSLAND NORTH,3157,1908,1,3157,RURAL
GIPPSLAND SOUTH,3898,1908,1,3898,RURAL
GIPPSLAND WEST,3262,1908,1,3262,RURAL
GLENELG,3633,1908,1,3633,RURAL
GOULBURN VALLEY,3257,1908,1,3257,RURAL
GRENVILLE,3582,1908,1,3582,RURAL
GUNBOWER,3104,1908,1,3104,RURAL
HAMPDEN,4025,1908,1,4025,RURAL
HAWTHORN,5999,1908,1,5999,URBAN
JIKA JIKA,6039,1908,1,6039,URBAN
KARA KARA,3288,1908,1,3288,RURAL
KORONG,2710,1908,1,2710,RURAL
LOWAN,3021,1908,1,3021,RURAL
MARYBOROUGH,3940,1908,1,3940,RURAL
MELBOURNE,5636,1908,1,5636,URBAN
MORNINGTON,4185,1908,1,4185,RURAL
NORTH MELBOURNE,5362,1908,1,5362,URBAN
OVENS,2949,1908,1,2949,RURAL
POLWARTH,3815,1908,1,3815,RURAL
PORT FAIRY,3644,1908,1,3644,RURAL
PORT MELBOURNE,5405,1908,1,5405,URBAN
PRAHRAN,4969,1908,1,4969,URBAN
RICHMOND,5230,1908,1,5230,URBAN
RODNEY,3542,1908,1,3542,RURAL
ST KILDA,5010,1908,1,5010,URBAN
STAWELL AND ARARAT,3330,1908,1,3330,RURAL
BOX HILL,31046,1955,1,31046,URBAN
TOORAK,4910,1908,1,4910,URBAN
UPPER GOULBURN,3763,1908,1,3763,RURAL
WALHALLA,2897,1908,1,2897,RURAL
WANGARATTA,3849,1908,1,3849,RURAL
WARANGA,2929,1908,1,2929,RURAL
WARRENHEIP,2891,1908,1,2891,RURAL
WARRNAMBOOL,3217,1908,1,3217,RURAL
WILLIAMSTOWN,6148,1908,1,6148,URBAN
ABBOTSFORD,12580,1911,1,12580,URBAN
ALBERT PARK,18029,1911,1,18029,URBAN
ALLENDALE,6709,1911,1,6709,RURAL
BALLARAT EAST,10272,1911,1,10272,METRO
BALLARAT WEST,10184,1911,1,10184,METRO
BARWON,10373,1911,1,10373,RURAL
BENALLA,7694,1911,1,7694,RURAL
BENAMBRA,6610,1911,1,6610,RURAL
BENDIGO EAST,9434,1911,1,9434,METRO
BENDIGO WEST,10292,1911,1,10292,METRO
BOROONDARA,19421,1911,1,19421,URBAN
BORUNG,7426,1911,1,7426,RURAL
BRIGHTON,13457,1911,1,13457,URBAN
BRUNSWICK,17371,1911,1,17371,URBAN
BULLA,9514,1911,1,9514,RURAL
CARLTON,12285,1911,1,12285,URBAN
CASTLEMAINE AND MALDON,7165,1911,1,7165,RURAL
COLLINGWOOD,13378,1911,1,13378,URBAN
DALHOUSIE,7642,1911,1,7642,RURAL
DANDENONG,11228,1911,1,11228,RURAL
DAYLESFORD,7405,1911,1,7405,RURAL
DUNDAS,7824,1911,1,7824,RURAL
EAGLEHAWK,8131,1911,1,8131,RURAL
EAST MELBOURNE,11026,1911,1,11026,URBAN
ESSENDON,18494,1911,1,18494,URBAN
EVELYN,8692,1911,1,8692,RURAL
FITZROY,13705,1911,1,13705,URBAN
FLEMINGTON,16130,1911,1,16130,URBAN
GEELONG,11515,1911,1,11515,METRO
GIPPSLAND EAST,6346,1911,1,6346,RURAL
GIPPSLAND NORTH,8247,1911,1,8247,RURAL
GIPPSLAND SOUTH,8991,1911,1,8991,RURAL
GIPPSLAND WEST,8146,1911,1,8146,RURAL
GLENELG,8454,1911,1,8454,RURAL
GOULBURN VALLEY,8507,1911,1,8507,RURAL
GRENVILLE,6908,1911,1,6908,RURAL
GUNBOWER,7845,1911,1,7845,RURAL
HAMPDEN,11008,1911,1,11008,RURAL
HAWTHORN,20610,1911,1,20610,URBAN
JIKA JIKA,18353,1911,1,18353,URBAN
KARA KARA,7447,1911,1,7447,RURAL
KORONG,6685,1911,1,6685,RURAL
LOWAN,9059,1911,1,9059,RURAL
MARYBOROUGH,7945,1911,1,7945,RURAL
MELBOURNE,7726,1911,1,7726,URBAN
MORNINGTON,12908,1911,1,12908,RURAL
NORTH MELBOURNE,15008,1911,1,15008,URBAN
OVENS,6955,1911,1,6955,RURAL
POLWARTH,10567,1911,1,10567,RURAL
PORT FAIRY,7624,1911,1,7624,RURAL
PORT MELBOURNE,15395,1911,1,15395,URBAN
PRAHRAN,17843,1911,1,17843,URBAN
RICHMOND,14482,1911,1,14482,URBAN
RODNEY,8877,1911,1,8877,RURAL
ST KILDA,19340,1911,1,19340,URBAN
STAWELL AND ARARAT,8096,1911,1,8096,RURAL
BOX HILL,24107,1958,1,24107,URBAN
TOORAK,18576,1911,1,18576,URBAN
UPPER GOULBURN,7786,1911,1,7786,RURAL
WALHALLA,5951,1911,1,5951,RURAL
WANGARATTA,8088,1911,1,8088,RURAL
WARANGA,7176,1911,1,7176,RURAL
WARRENHEIP,5793,1911,1,5793,RURAL
WARRNAMBOOL,8668,1911,1,8668,RURAL
WILLIAMSTOWN,16077,1911,1,16077,URBAN
ABBOTSFORD,16269,1914,1,16269,URBAN
ALBERT PARK,20246,1914,1,20246,URBAN
ALLENDALE,6321,1914,1,6321,RURAL
BALLARAT EAST,10994,1914,1,10994,METRO
BALLARAT WEST,10706,1914,1,10706,METRO
BARWON,11324,1914,1,11324,RURAL
BENALLA,8094,1914,1,8094,RURAL
BENAMBRA,7190,1914,1,7190,RURAL
BENDIGO EAST,9439,1914,1,9439,METRO
BENDIGO WEST,10477,1914,1,10477,METRO
BOROONDARA,29974,1914,1,29974,URBAN
BORUNG,7765,1914,1,7765,RURAL
BRIGHTON,18074,1914,1,18074,URBAN
BRUNSWICK,21710,1914,1,21710,URBAN
BULLA,10852,1914,1,10852,RURAL
CARLTON,14463,1914,1,14463,URBAN
CASTLEMAINE AND MALDON,7363,1914,1,7363,RURAL
COLLINGWOOD,14561,1914,1,14561,URBAN
DALHOUSIE,7443,1914,1,7443,RURAL
DANDENONG,13903,1914,1,13903,RURAL
DAYLESFORD,7213,1914,1,7213,RURAL
DUNDAS,8801,1914,1,8801,RURAL
EAGLEHAWK,8029,1914,1,8029,RURAL
EAST MELBOURNE,13323,1914,1,13323,URBAN
ESSENDON,25295,1914,1,25295,URBAN
EVELYN,10401,1914,1,10401,RURAL
FITZROY,15059,1914,1,15059,URBAN
FLEMINGTON,20194,1914,1,20194,URBAN
GEELONG,14058,1914,1,14058,METRO
GIPPSLAND EAST,6710,1914,1,6710,RURAL
GIPPSLAND NORTH,9404,1914,1,9404,RURAL
GIPPSLAND SOUTH,9978,1914,1,9978,RURAL
GIPPSLAND WEST,8583,1914,1,8583,RURAL
GLENELG,9307,1914,1,9307,RURAL
GOULBURN VALLEY,9213,1914,1,9213,RURAL
GRENVILLE,6287,1914,1,6287,RURAL
GUNBOWER,8628,1914,1,8628,RURAL
HAMPDEN,12266,1914,1,12266,RURAL
HAWTHORN,24076,1914,1,24076,URBAN
JIKA JIKA,25462,1914,1,25462,URBAN
KARA KARA,7458,1914,1,7458,RURAL
KORONG,7202,1914,1,7202,RURAL
LOWAN,9335,1914,1,9335,RURAL
MARYBOROUGH,7912,1914,1,7912,RURAL
MELBOURNE,10104,1914,1,10104,URBAN
MORNINGTON,13697,1914,1,13697,RURAL
NORTH MELBOURNE,17469,1914,1,17469,URBAN
OVENS,6752,1914,1,6752,RURAL
POLWARTH,11109,1914,1,11109,RURAL
PORT FAIRY,7875,1914,1,7875,RURAL
PORT MELBOURNE,16993,1914,1,16993,URBAN
PRAHRAN,20275,1914,1,20275,URBAN
RICHMOND,17442,1914,1,17442,URBAN
RODNEY,10656,1914,1,10656,RURAL
ST KILDA,25295,1914,1,25295,URBAN
STAWELL AND ARARAT,9131,1914,1,9131,RURAL
BOX HILL,30533,1961,1,30533,URBAN
TOORAK,22159,1914,1,22159,URBAN
UPPER GOULBURN,8233,1914,1,8233,RURAL
WALHALLA,6644,1914,1,6644,RURAL
WANGARATTA,8518,1914,1,8518,RURAL
WARANGA,7058,1914,1,7058,RURAL
WARRENHEIP,6203,1914,1,6203,RURAL
WARRNAMBOOL,9315,1914,1,9315,RURAL
WILLIAMSTOWN,20336,1914,1,20336,URBAN
ABBOTSFORD,15233,1917,1,15233,URBAN
ALBERT PARK,20885,1917,1,20885,URBAN
ALLENDALE,5723,1917,1,5723,RURAL
BALLARAT EAST,10009,1917,1,10009,METRO
BALLARAT WEST,10139,1917,1,10139,METRO
BARWON,11693,1917,1,11693,RURAL
BENALLA,7928,1917,1,7928,RURAL
BENAMBRA,6711,1917,1,6711,RURAL
BENDIGO EAST,8763,1917,1,8763,METRO
BENDIGO WEST,9450,1917,1,9450,METRO
BOROONDARA,39287,1917,1,39287,URBAN
BORUNG,7446,1917,1,7446,RURAL
BRIGHTON,21689,1917,1,21689,URBAN
BRUNSWICK,23683,1917,1,23683,URBAN
BULLA,11062,1917,1,11062,RURAL
CARLTON,13313,1917,1,13313,URBAN
CASTLEMAINE AND MALDON,6830,1917,1,6830,RURAL
COLLINGWOOD,14643,1917,1,14643,URBAN
DALHOUSIE,7186,1917,1,7186,RURAL
DANDENONG,15771,1917,1,15771,RURAL
DAYLESFORD,6735,1917,1,6735,RURAL
DUNDAS,8391,1917,1,8391,RURAL
EAGLEHAWK,7155,1917,1,7155,RURAL
EAST MELBOURNE,11772,1917,1,11772,URBAN
ESSENDON,25178,1917,1,25178,URBAN
EVELYN,10712,1917,1,10712,RURAL
FITZROY,14122,1917,1,14122,URBAN
FLEMINGTON,22134,1917,1,22134,URBAN
GEELONG,14243,1917,1,14243,METRO
GIPPSLAND EAST,6379,1917,1,6379,RURAL
GIPPSLAND NORTH,8888,1917,1,8888,RURAL
GIPPSLAND SOUTH,10069,1917,1,10069,RURAL
GIPPSLAND WEST,8842,1917,1,8842,RURAL
GLENELG,9145,1917,1,9145,RURAL
GOULBURN VALLEY,8700,1917,1,8700,RURAL
GRENVILLE,5457,1917,1,5457,RURAL
GUNBOWER,8354,1917,1,8354,RURAL
HAMPDEN,11568,1917,1,11568,RURAL
HAWTHORN,26177,1917,1,26177,URBAN
JIKA JIKA,30242,1917,1,30242,URBAN
KARA KARA,6800,1917,1,6800,RURAL
KORONG,7091,1917,1,7091,RURAL
LOWAN,9574,1917,1,9574,RURAL
MARYBOROUGH,7179,1917,1,7179,RURAL
MELBOURNE,8918,1917,1,8918,URBAN
MORNINGTON,14845,1917,1,14845,RURAL
NORTH MELBOURNE,17041,1917,1,17041,URBAN
OVENS,5988,1917,1,5988,RURAL
POLWARTH,10938,1917,1,10938,RURAL
PORT FAIRY,7802,1917,1,7802,RURAL
PORT MELBOURNE,16369,1917,1,16369,URBAN
PRAHRAN,20274,1917,1,20274,URBAN
RICHMOND,16990,1917,1,16990,URBAN
RODNEY,10351,1917,1,10351,RURAL
ST KILDA,29945,1917,1,29945,URBAN
STAWELL AND ARARAT,9055,1917,1,9055,RURAL
BOX HILL,37755,1964,1,37755,URBAN
TOORAK,23718,1917,1,23718,URBAN
UPPER GOULBURN,8236,1917,1,8236,RURAL
WALHALLA,6343,1917,1,6343,RURAL
WANGARATTA,7719,1917,1,7719,RURAL
WARANGA,7060,1917,1,7060,RURAL
WARRENHEIP,6059,1917,1,6059,RURAL
WARRNAMBOOL,9077,1917,1,9077,RURAL
WILLIAMSTOWN,22201,1917,1,22201,URBAN
ABBOTSFORD,15408,1920,1,15408,URBAN
ALBERT PARK,21551,1920,1,21551,URBAN
ALLENDALE,5422,1920,1,5422,RURAL
BALLARAT EAST,10034,1920,1,10034,METRO
BALLARAT WEST,10477,1920,1,10477,METRO
BARWON,11814,1920,1,11814,RURAL
BENALLA,7851,1920,1,7851,RURAL
BENAMBRA,6612,1920,1,6612,RURAL
BENDIGO EAST,8337,1920,1,8337,METRO
BENDIGO WEST,9164,1920,1,9164,METRO
BOROONDARA,48523,1920,1,48523,URBAN
BORUNG,7707,1920,1,7707,RURAL
BRIGHTON,25969,1920,1,25969,URBAN
BRUNSWICK,25420,1920,1,25420,URBAN
BULLA,11360,1920,1,11360,RURAL
CARLTON,13443,1920,1,13443,URBAN
CASTLEMAINE AND MALDON,6604,1920,1,6604,RURAL
COLLINGWOOD,15389,1920,1,15389,URBAN
DALHOUSIE,7051,1920,1,7051,RURAL
DANDENONG,17564,1920,1,17564,RURAL
DAYLESFORD,6371,1920,1,6371,RURAL
DUNDAS,8250,1920,1,8250,RURAL
EAGLEHAWK,6556,1920,1,6556,RURAL
EAST MELBOURNE,12025,1920,1,12025,URBAN
ESSENDON,31344,1920,1,31344,URBAN
EVELYN,11952,1920,1,11952,RURAL
FITZROY,14767,1920,1,14767,URBAN
FLEMINGTON,22874,1920,1,22874,URBAN
GEELONG,14535,1920,1,14535,METRO
GIPPSLAND EAST,6135,1920,1,6135,RURAL
GIPPSLAND NORTH,9140,1920,1,9140,RURAL
GIPPSLAND SOUTH,9695,1920,1,9695,RURAL
GIPPSLAND WEST,9571,1920,1,9571,RURAL
GLENELG,9031,1920,1,9031,RURAL
GOULBURN VALLEY,8666,1920,1,8666,RURAL
GRENVILLE,4930,1920,1,4930,RURAL
GUNBOWER,8978,1920,1,8978,RURAL
HAMPDEN,11358,1920,1,11358,RURAL
HAWTHORN,28940,1920,1,28940,URBAN
JIKA JIKA,34555,1920,1,34555,URBAN
KARA KARA,6348,1920,1,6348,RURAL
KORONG,6844,1920,1,6844,RURAL
LOWAN,9571,1920,1,9571,RURAL
MARYBOROUGH,6905,1920,1,6905,RURAL
MELBOURNE,8852,1920,1,8852,URBAN
MORNINGTON,15798,1920,1,15798,RURAL
NORTH MELBOURNE,17552,1920,1,17552,URBAN
OVENS,5295,1920,1,5295,RURAL
POLWARTH,10983,1920,1,10983,RURAL
PORT FAIRY,8028,1920,1,8028,RURAL
PORT MELBOURNE,16029,1920,1,16029,URBAN
PRAHRAN,20678,1920,1,20678,URBAN
RICHMOND,17383,1920,1,17383,URBAN
RODNEY,11330,1920,1,11330,RURAL
ST KILDA,34135,1920,1,34135,URBAN
STAWELL AND ARARAT,8043,1920,1,8043,RURAL
BOX HILL,29186,1967,1,29186,URBAN
TOORAK,24725,1920,1,24725,URBAN
UPPER GOULBURN,8167,1920,1,8167,RURAL
WALHALLA,6413,1920,1,6413,RURAL
WANGARATTA,7469,1920,1,7469,RURAL
WARANGA,7060,1920,1,7060,RURAL
WARRENHEIP,5620,1920,1,5620,RURAL
WARRNAMBOOL,9347,1920,1,9347,RURAL
WILLIAMSTOWN,23281,1920,1,23281,URBAN
ABBOTSFORD,14506,1921,1,14506,URBAN
ALBERT PARK,20789,1921,1,20789,URBAN
ALLENDALE,5474,1921,1,5474,RURAL
BALLARAT EAST,9697,1921,1,9697,METRO
BALLARAT WEST,10232,1921,1,10232,METRO
BARWON,12042,1921,1,12042,RURAL
BENALLA,7927,1921,1,7927,RURAL
BENAMBRA,6621,1921,1,6621,RURAL
BENDIGO EAST,8805,1921,1,8805,METRO
BENDIGO WEST,9429,1921,1,9429,METRO
BOROONDARA,49157,1921,1,49157,URBAN
BORUNG,7824,1921,1,7824,RURAL
BRIGHTON,26285,1921,1,26285,URBAN
BRUNSWICK,25047,1921,1,25047,URBAN
BULLA,11290,1921,1,11290,RURAL
CARLTON,12762,1921,1,12762,URBAN
CASTLEMAINE AND MALDON,6621,1921,1,6621,RURAL
COLLINGWOOD,14796,1921,1,14796,URBAN
DALHOUSIE,6948,1921,1,6948,RURAL
DANDENONG,17719,1921,1,17719,RURAL
DAYLESFORD,6410,1921,1,6410,RURAL
DUNDAS,8215,1921,1,8215,RURAL
EAGLEHAWK,6412,1921,1,6412,RURAL
EAST MELBOURNE,12214,1921,1,12214,URBAN
ESSENDON,31676,1921,1,31676,URBAN
EVELYN,12151,1921,1,12151,RURAL
FITZROY,14745,1921,1,14745,URBAN
FLEMINGTON,23755,1921,1,23755,URBAN
GEELONG,14991,1921,1,14991,METRO
GIPPSLAND EAST,6146,1921,1,6146,RURAL
GIPPSLAND NORTH,9122,1921,1,9122,RURAL
GIPPSLAND SOUTH,9702,1921,1,9702,RURAL
GIPPSLAND WEST,9663,1921,1,9663,RURAL
GLENELG,8996,1921,1,8996,RURAL
GOULBURN VALLEY,8865,1921,1,8865,RURAL
GRENVILLE,4820,1921,1,4820,RURAL
GUNBOWER,8963,1921,1,8963,RURAL
HAMPDEN,11356,1921,1,11356,RURAL
HAWTHORN,29582,1921,1,29582,URBAN
JIKA JIKA,34953,1921,1,34953,URBAN
KARA KARA,6080,1921,1,6080,RURAL
KORONG,6831,1921,1,6831,RURAL
LOWAN,9640,1921,1,9640,RURAL
MARYBOROUGH,6664,1921,1,6664,RURAL
MELBOURNE,8825,1921,1,8825,URBAN
MORNINGTON,15741,1921,1,15741,RURAL
NORTH MELBOURNE,18362,1921,1,18362,URBAN
OVENS,5183,1921,1,5183,RURAL
POLWARTH,11310,1921,1,11310,RURAL
PORT FAIRY,8051,1921,1,8051,RURAL
PORT MELBOURNE,15321,1921,1,15321,URBAN
PRAHRAN,21095,1921,1,21095,URBAN
RICHMOND,16613,1921,1,16613,URBAN
RODNEY,11395,1921,1,11395,RURAL
ST KILDA,34106,1921,1,34106,URBAN
STAWELL AND ARARAT,7969,1921,1,7969,RURAL
BOX HILL,36217,1970,1,36217,URBAN
TOORAK,25421,1921,1,25421,URBAN
UPPER GOULBURN,8109,1921,1,8109,RURAL
WALHALLA,6758,1921,1,6758,RURAL
WANGARATTA,7566,1921,1,7566,RURAL
WARANGA,6950,1921,1,6950,RURAL
WARRENHEIP,5657,1921,1,5657,RURAL
WARRNAMBOOL,9027,1921,1,9027,RURAL
WILLIAMSTOWN,23939,1921,1,23939,URBAN
BOX HILL,46122,1973,1,46122,URBAN
ABBOTSFORD,14510,1924,1,14510,URBAN
ALBERT PARK,20431,1924,1,20431,URBAN
ALLENDALE,5216,1924,1,5216,RURAL
BALLARAT EAST,9756,1924,1,9756,METRO
BALLARAT WEST,10549,1924,1,10549,METRO
BARWON,12355,1924,1,12355,RURAL
BENALLA,7108,1924,1,7108,RURAL
BENAMBRA,6700,1924,1,6700,RURAL
BENDIGO EAST,8204,1924,1,8204,METRO
BENDIGO WEST,9017,1924,1,9017,METRO
BOROONDARA,63123,1924,1,63123,URBAN
BORUNG,7856,1924,1,7856,RURAL
BRIGHTON,30536,1924,1,30536,URBAN
BRUNSWICK,27788,1924,1,27788,URBAN
BULLA,11810,1924,1,11810,RURAL
CARLTON,11767,1924,1,11767,URBAN
CASTLEMAINE AND MALDON,6246,1924,1,6246,RURAL
COLLINGWOOD,14212,1924,1,14212,URBAN
DALHOUSIE,6704,1924,1,6704,RURAL
DANDENONG,19505,1924,1,19505,RURAL
DAYLESFORD,6185,1924,1,6185,RURAL
DUNDAS,8256,1924,1,8256,RURAL
EAGLEHAWK,5861,1924,1,5861,RURAL
EAST MELBOURNE,10938,1924,1,10938,URBAN
ESSENDON,37039,1924,1,37039,URBAN
EVELYN,12213,1924,1,12213,RURAL
FITZROY,12353,1924,1,12353,URBAN
FLEMINGTON,23713,1924,1,23713,URBAN
GEELONG,15405,1924,1,15405,METRO
GIPPSLAND EAST,6134,1924,1,6134,RURAL
GIPPSLAND NORTH,9543,1924,1,9543,RURAL
GIPPSLAND SOUTH,9745,1924,1,9745,RURAL
GIPPSLAND WEST,9385,1924,1,9385,RURAL
GLENELG,9022,1924,1,9022,RURAL
GOULBURN VALLEY,8924,1924,1,8924,RURAL
GRENVILLE,4256,1924,1,4256,RURAL
GUNBOWER,9178,1924,1,9178,RURAL
HAMPDEN,11573,1924,1,11573,RURAL
HAWTHORN,32143,1924,1,32143,URBAN
JIKA JIKA,41548,1924,1,41548,URBAN
KARA KARA,5958,1924,1,5958,RURAL
KORONG,6518,1924,1,6518,RURAL
LOWAN,10470,1924,1,10470,RURAL
MARYBOROUGH,6360,1924,1,6360,RURAL
MELBOURNE,7738,1924,1,7738,URBAN
MORNINGTON,17066,1924,1,17066,RURAL
NORTH MELBOURNE,15915,1924,1,15915,URBAN
OVENS,4880,1924,1,4880,RURAL
POLWARTH,11494,1924,1,11494,RURAL
PORT FAIRY,7313,1924,1,7313,RURAL
PORT MELBOURNE,15435,1924,1,15435,URBAN
PRAHRAN,19436,1924,1,19436,URBAN
RICHMOND,16381,1924,1,16381,URBAN
RODNEY,11194,1924,1,11194,RURAL
ST KILDA,35932,1924,1,35932,URBAN
STAWELL AND ARARAT,7910,1924,1,7910,RURAL
BOX HILL,28862,1976,1,28862,URBAN
TOORAK,24441,1924,1,24441,URBAN
UPPER GOULBURN,7760,1924,1,7760,RURAL
WALHALLA,7797,1924,1,7797,RURAL
WANGARATTA,7165,1924,1,7165,RURAL
WARANGA,6466,1924,1,6466,RURAL
WARRENHEIP,5192,1924,1,5192,RURAL
WARRNAMBOOL,9410,1924,1,9410,RURAL
WILLIAMSTOWN,24058,1924,1,24058,URBAN
ALBERT PARK,23697,1927,1,23697,URBAN
ALLENDALE,9709,1927,1,9709,RURAL
BOX HILL,28836,1979,1,28836,URBAN
BARWON,11441,1927,1,11441,RURAL
BENALLA,9717,1927,1,9717,RURAL
BENAMBRA,8066,1927,1,8066,RURAL
BOX HILL,28398,1982,1,28398,URBAN
BOROONDARA,21831,1927,1,21831,URBAN
BRIGHTON,22753,1927,1,22753,URBAN
BRUNSWICK,22998,1927,1,22998,URBAN
BOX HILL,30843,1985,1,30843,URBAN
CARLTON,22034,1927,1,22034,URBAN
BOX HILL,29135,1988,1,29135,URBAN
BOX HILL,33186,1992,1,33186,URBAN
BOX HILL,33537,1996,1,33537,URBAN
BOX HILL,34009,1999,1,34009,URBAN
COLLINGWOOD,23879,1927,1,23879,URBAN
DANDENONG,20571,1927,1,20571,RURAL
DUNDAS,10568,1927,1,10568,RURAL
ESSENDON,20677,1927,1,20677,URBAN
EVELYN,9494,1927,1,9494,RURAL
FLEMINGTON,21687,1927,1,21687,URBAN
BOX HILL,37475,2002,1,37475,URBAN
GEELONG,17621,1927,1,17621,METRO
GIPPSLAND EAST,7040,1927,1,7040,RURAL
GIPPSLAND NORTH,9962,1927,1,9962,RURAL
GIPPSLAND SOUTH,10042,1927,1,10042,RURAL
GIPPSLAND WEST,10060,1927,1,10060,RURAL
GOULBURN VALLEY,10778,1927,1,10778,RURAL
BOX HILL,37970,2006,1,37970,URBAN
GUNBOWER,10719,1927,1,10719,RURAL
HAMPDEN,10358,1927,1,10358,RURAL
HAWTHORN,21641,1927,1,21641,URBAN
BOX HILL,38898,2010,1,38898,URBAN
BOX HILL,43389,2014,1,43389,URBAN
BOX HILL,43983,2018,1,43983,URBAN
BROADMEADOWS,27829,1955,1,27829,URBAN
LOWAN,10923,1927,1,10923,RURAL
BROADMEADOWS,30448,1958,1,30448,URBAN
MELBOURNE,23045,1927,1,23045,URBAN
BROADMEADOWS,42871,1961,1,42871,URBAN
MORNINGTON,10520,1927,1,10520,RURAL
BROADMEADOWS,52865,1964,1,52865,URBAN
BROADMEADOWS,28583,1967,1,28583,URBAN
BROADMEADOWS,34766,1970,1,34766,URBAN
BROADMEADOWS,47641,1973,1,47641,URBAN
POLWARTH,10981,1927,1,10981,RURAL
BROADMEADOWS,29720,1976,1,29720,URBAN
PORT MELBOURNE,22076,1927,1,22076,URBAN
PRAHRAN,25087,1927,1,25087,URBAN
RICHMOND,24059,1927,1,24059,URBAN
RODNEY,10855,1927,1,10855,RURAL
ST KILDA,24958,1927,1,24958,URBAN
STAWELL AND ARARAT,10881,1927,1,10881,RURAL
BROADMEADOWS,34979,1979,1,34979,URBAN
TOORAK,22193,1927,1,22193,URBAN
UPPER GOULBURN,9333,1927,1,9333,RURAL
BROADMEADOWS,39105,1982,1,39105,URBAN
WALHALLA,9296,1927,1,9296,RURAL
BROADMEADOWS,27859,1985,1,27859,URBAN
WARANGA,9349,1927,1,9349,RURAL
BROADMEADOWS,26475,1988,1,26475,URBAN
WARRNAMBOOL,9991,1927,1,9991,RURAL
WILLIAMSTOWN,20379,1927,1,20379,URBAN
BROADMEADOWS,30828,1992,1,30828,URBAN
ALBERT PARK,22824,1929,1,22824,URBAN
ALLENDALE,9687,1929,1,9687,RURAL
BROADMEADOWS,34489,1996,1,34489,URBAN
BARWON,11680,1929,1,11680,RURAL
BENALLA,10901,1929,1,10901,RURAL
BENAMBRA,8453,1929,1,8453,RURAL
BROADMEADOWS,36559,1999,1,36559,URBAN
BOROONDARA,24813,1929,1,24813,URBAN
BRIGHTON,24523,1929,1,24523,URBAN
BRUNSWICK,24092,1929,1,24092,URBAN
BROADMEADOWS,37422,2002,1,37422,URBAN
CARLTON,20405,1929,1,20405,URBAN
BROADMEADOWS,36713,2006,1,36713,URBAN
BROADMEADOWS,37424,2010,1,37424,URBAN
BROADMEADOWS,41717,2014,1,41717,URBAN
BROADMEADOWS,43657,2018,1,43657,URBAN
COLLINGWOOD,22154,1929,1,22154,URBAN
DANDENONG,24661,1929,1,24661,RURAL
DUNDAS,10828,1929,1,10828,RURAL
ESSENDON,22310,1929,1,22310,URBAN
EVELYN,9997,1929,1,9997,RURAL
FLEMINGTON,21561,1929,1,21561,URBAN
BRUNSWICK EAST,18606,1955,1,18606,URBAN
GEELONG,17775,1929,1,17775,METRO
GIPPSLAND EAST,7126,1929,1,7126,RURAL
GIPPSLAND NORTH,10173,1929,1,10173,RURAL
GIPPSLAND SOUTH,10330,1929,1,10330,RURAL
GIPPSLAND WEST,10691,1929,1,10691,RURAL
GOULBURN VALLEY,11367,1929,1,11367,RURAL
BRUNSWICK EAST,18288,1958,1,18288,URBAN
GUNBOWER,11051,1929,1,11051,RURAL
HAMPDEN,10699,1929,1,10699,RURAL
HAWTHORN,22334,1929,1,22334,URBAN
BRUNSWICK EAST,16987,1961,1,16987,URBAN
BRUNSWICK EAST,15773,1964,1,15773,URBAN
BRUNSWICK EAST,24394,1967,1,24394,URBAN
BRUNSWICK EAST,23750,1970,1,23750,URBAN
LOWAN,11262,1929,1,11262,RURAL
BRUNSWICK EAST,24121,1973,1,24121,URBAN
MELBOURNE,21565,1929,1,21565,URBAN
BRUNSWICK WEST,16653,1955,1,16653,URBAN
MORNINGTON,11572,1929,1,11572,RURAL
BRUNSWICK WEST,20932,1958,1,20932,URBAN
BRUNSWICK WEST,19472,1961,1,19472,URBAN
BRUNSWICK WEST,18482,1964,1,18482,URBAN
BRUNSWICK WEST,24462,1967,1,24462,URBAN
POLWARTH,11217,1929,1,11217,RURAL
BRUNSWICK WEST,23067,1970,1,23067,URBAN
PORT MELBOURNE,21292,1929,1,21292,URBAN
PRAHRAN,24291,1929,1,24291,URBAN
RICHMOND,23375,1929,1,23375,URBAN
RODNEY,11240,1929,1,11240,RURAL
ST KILDA,26168,1929,1,26168,URBAN
STAWELL AND ARARAT,11071,1929,1,11071,RURAL
BRUNSWICK WEST,24023,1973,1,24023,URBAN
TOORAK,22001,1929,1,22001,URBAN
UPPER GOULBURN,9492,1929,1,9492,RURAL
