DISTRICT,EN,YEAR,SEATS,PROP,Category
ALTONA,36589,1999,1,36589,URBAN
GRENVILLE,3049,1894,2,1524.5,RURAL
GUNBOWER,2506,1894,1,2506,RURAL
HAWTHORN,3596,1894,1,3596,URBAN
ALTONA,35773,2002,1,35773,URBAN
ALTONA,41888,2006,1,41888,URBAN
KARA KARA,2020,1894,1,2020,RURAL
ALTONA,51138,2010,1,51138,URBAN
KORONG,1945,1894,1,1945,RURAL
ALTONA,48044,2014,1,48044,URBAN
LOWAN,2628,1894,1,2628,RURAL
ALTONA,55418,2018,1,55418,URBAN
ANGLESEY,3531,1897,1,3531,RURAL
MARYBOROUGH,2091,1894,1,2091,RURAL
MELBOURNE,3096,1894,1,3096,URBAN
ANGLESEY,3910,1900,1,3910,RURAL
ANGLESEY,3693,1902,1,3693,RURAL
ARARAT,1770,1897,1,1770,RURAL
ARARAT,2238,1900,1,2238,RURAL
MORNINGTON,3879,1894,1,3879,RURAL
ARARAT,2395,1902,1,2395,RURAL
ASCOT VALE,23200,1955,1,23200,URBAN
OVENS,1561,1894,1,1561,RURAL
POLWARTH,2492,1894,1,2492,RURAL
PORT FAIRY,1793,1894,1,1793,RURAL
PORT MELBOURNE,2477,1894,1,2477,URBAN
ASCOT VALE,29243,1976,1,29243,URBAN
PRAHRAN,2823,1894,1,2823,URBAN
RICHMOND,5883,1894,2,2941.5,URBAN
ASCOT VALE,28098,1979,1,28098,URBAN
RODNEY,4779,1894,2,2389.5,RURAL
ST KILDA,3087,1894,1,3087,URBAN
ASCOT VALE,27759,1982,1,27759,URBAN
BALLARAT,16521,1927,1,16521,METRO
BALLARAT,17068,1929,1,17068,METRO
BALLARAT,17889,1932,1,17889,METRO
BALLARAT,18233,1935,1,18233,METRO
BALLARAT,18084,1937,1,18084,METRO
TOORAK,3932,1894,1,3932,URBAN
BALLARAT,17744,1940,1,17744,METRO
BALLARAT,18327,1943,1,18327,METRO
WARRENHEIP,1676,1894,1,1676,RURAL
WARRNAMBOOL,1747,1894,1,1747,RURAL
WILLIAMSTOWN,3172,1894,1,3172,URBAN
BALLARAT,20791,1945,1,20791,METRO
ALBERT PARK,2784,1897,1,2784,URBAN
BALLARAT,21920,1947,1,21920,METRO
BALLARAT,21659,1950,1,21659,METRO
BALLARAT EAST,3333,1897,1,3333,METRO
BALLARAT WEST,5660,1897,2,2830,METRO
BARWON,2401,1897,1,2401,RURAL
BALLARAT,21495,1952,1,21495,METRO
BENAMBRA,2060,1897,1,2060,RURAL
BALLARAT NORTH,20603,1955,1,20603,METRO
BORUNG,2497,1897,1,2497,RURAL
BALLARAT NORTH,21979,1958,1,21979,METRO
BALLARAT NORTH,22585,1961,1,22585,METRO
BRIGHTON,3441,1897,1,3441,URBAN
CARLTON,3626,1897,1,3626,URBAN
BALLARAT NORTH,22914,1964,1,22914,METRO
BALLARAT NORTH,23510,1967,1,23510,METRO
BALLARAT NORTH,24137,1970,1,24137,METRO
COLLINGWOOD,5059,1897,2,2529.5,URBAN
BALLARAT NORTH,27142,1973,1,27142,METRO
BALLARAT NORTH,25751,1976,1,25751,METRO
DAYLESFORD,1814,1897,1,1814,RURAL
BALLARAT NORTH,27461,1979,1,27461,METRO
BALLARAT NORTH,28216,1982,1,28216,METRO
DUNDAS,2265,1897,1,2265,RURAL
BALLARAT NORTH,31119,1985,1,31119,METRO
EAGLEHAWK,2020,1897,1,2020,RURAL
BALLARAT NORTH,32194,1988,1,32194,METRO
BALLARAT SOUTH,20522,1955,1,20522,METRO
BALLARAT SOUTH,21412,1958,1,21412,METRO
BALLARAT SOUTH,21531,1961,1,21531,METRO
EVELYN,3410,1897,1,3410,RURAL
FITZROY,6091,1897,2,3045.5,URBAN
BALLARAT SOUTH,21887,1964,1,21887,METRO
GEELONG,5391,1897,2,2695.5,METRO
BALLARAT SOUTH,22741,1967,1,22741,METRO
GIPPSLAND EAST,3028,1897,1,3028,RURAL
GIPPSLAND NORTH,1985,1897,1,1985,RURAL
GIPPSLAND SOUTH,2644,1897,1,2644,RURAL
GIPPSLAND WEST,4205,1897,1,4205,RURAL
BALLARAT SOUTH,23073,1970,1,23073,METRO
GRENVILLE,3727,1897,2,1863.5,RURAL
GUNBOWER,2736,1897,1,2736,RURAL
HAWTHORN,4119,1897,1,4119,URBAN
BALLARAT SOUTH,25732,1973,1,25732,METRO
BALLARAT SOUTH,25980,1976,1,25980,METRO
KARA KARA,2309,1897,1,2309,RURAL
BALLARAT SOUTH,27545,1979,1,27545,METRO
KORONG,2244,1897,1,2244,RURAL
BALLARAT SOUTH,28615,1982,1,28615,METRO
LOWAN,2429,1897,1,2429,RURAL
BALLARAT SOUTH,30681,1985,1,30681,METRO
BALLARAT SOUTH,33491,1988,1,33491,METRO
MARYBOROUGH,2306,1897,1,2306,RURAL
MELBOURNE,3996,1897,1,3996,URBAN
BALWYN,22934,1955,1,22934,URBAN
BALWYN,25505,1958,1,25505,URBAN
BALWYN,27107,1961,1,27107,URBAN
BALWYN,28438,1964,1,28438,URBAN
MORNINGTON,4395,1897,1,4395,RURAL
BALWYN,26404,1967,1,26404,URBAN
BALWYN,27124,1970,1,27124,URBAN
OVENS,1954,1897,1,1954,RURAL
POLWARTH,3128,1897,1,3128,RURAL
PORT FAIRY,1936,1897,1,1936,RURAL
PORT MELBOURNE,2538,1897,1,2538,URBAN
BALWYN,29826,1973,1,29826,URBAN
PRAHRAN,2851,1897,1,2851,URBAN
RICHMOND,5372,1897,2,2686,URBAN
BALWYN,29119,1976,1,29119,URBAN
RODNEY,4881,1897,2,2440.5,RURAL
ST KILDA,3383,1897,1,3383,URBAN
BALWYN,28505,1979,1,28505,URBAN
BALWYN,28135,1982,1,28135,URBAN
BALWYN,30324,1985,1,30324,URBAN
BALWYN,29518,1988,1,29518,URBAN
BASS,35258,2002,1,35258,METRO
BASS,39847,2006,1,39847,METRO
TOORAK,4000,1897,1,4000,URBAN
BASS,49279,2010,1,49279,METRO
BASS,44492,2014,1,44492,METRO
WARRENHEIP,1803,1897,1,1803,RURAL
WARRNAMBOOL,1912,1897,1,1912,RURAL
WILLIAMSTOWN,3231,1897,1,3231,URBAN
BASS,58325,2018,1,58325,METRO
ALBERT PARK,3335,1900,1,3335,URBAN
BAYSWATER,33909,1992,1,33909,URBAN
BAYSWATER,34454,1996,1,34454,URBAN
BALLARAT EAST,3447,1900,1,3447,METRO
BALLARAT WEST,6015,1900,2,3007.5,METRO
BARWON,2320,1900,1,2320,RURAL
BAYSWATER,35427,1999,1,35427,URBAN
BENAMBRA,2403,1900,1,2403,RURAL
BAYSWATER,36316,2002,1,36316,URBAN
BORUNG,2883,1900,1,2883,RURAL
BAYSWATER,36321,2006,1,36321,URBAN
BAYSWATER,36321,2010,1,36321,URBAN
BRIGHTON,3897,1900,1,3897,URBAN
CARLTON,3847,1900,1,3847,URBAN
BAYSWATER,42719,2014,1,42719,URBAN
BAYSWATER,44047,2018,1,44047,URBAN
BELLARINE,20917,1967,1,20917,METRO
COLLINGWOOD,5541,1900,2,2770.5,URBAN
BELLARINE,24485,1970,1,24485,METRO
BELLARINE,32047,1973,1,32047,METRO
DAYLESFORD,2035,1900,1,2035,RURAL
BELLARINE,29959,1985,1,29959,METRO
BELLARINE,32998,1988,1,32998,METRO
DUNDAS,2363,1900,1,2363,RURAL
BELLARINE,30582,1992,1,30582,METRO
EAGLEHAWK,2018,1900,1,2018,RURAL
BELLARINE,32466,1996,1,32466,METRO
BELLARINE,34423,1999,1,34423,METRO
BELLARINE,38583,2002,1,38583,METRO
BELLARINE,40888,2006,1,40888,METRO
EVELYN,3788,1900,1,3788,RURAL
FITZROY,6572,1900,2,3286,URBAN
BELLARINE,44369,2010,1,44369,METRO
GEELONG,6227,1900,2,3113.5,METRO
BELLARINE,42541,2014,1,42541,METRO
GIPPSLAND EAST,3251,1900,1,3251,RURAL
GIPPSLAND NORTH,2254,1900,1,2254,RURAL
GIPPSLAND SOUTH,3020,1900,1,3020,RURAL
GIPPSLAND WEST,4574,1900,1,4574,RURAL
BELLARINE,49417,2018,1,49417,METRO
GRENVILLE,4291,1900,2,2145.5,RURAL
GUNBOWER,2428,1900,1,2428,RURAL
HAWTHORN,4689,1900,1,4689,URBAN
BENALLA AND YARRAWONGA,2729,1897,1,2729,RURAL
BENALLA AND YARRAWONGA,2992,1900,1,2992,RURAL
KARA KARA,2117,1900,1,2117,RURAL
BENALLA AND YARRAWONGA,3387,1902,1,3387,RURAL
KORONG,2328,1900,1,2328,RURAL
BENDIGO,15384,1927,1,15384,METRO
LOWAN,2539,1900,1,2539,RURAL
BENDIGO,15921,1929,1,15921,METRO
BENDIGO,16894,1932,1,16894,METRO
